,Control,TikTok,TikTok_uploads,Insta_upload,upload_tweet,yt_upload
2016-01,3.5,4.75,205,0,0,0
2016-02,4.75,4.75,185,0,0,0
2016-03,7.25,5.75,225,0,0,0
2016-04,9.75,5.916666666,205,0,0,0
2016-05,7.5,10,262,0,0,0
2016-06,4.75,9,240,0,0,0
2016-07,11.5,13.125,397,0,0,0
2016-08,11.75,10.08333333,348,0,0,0
2016-09,7.25,8,217,0,0,0
2016-10,8.25,9.375,157,0,0,0
2016-11,6.5,10.625,181,0,0,0
2016-12,7.25,11.25,146,0,0,0
2017-01,11.25,11.625,172,0,0,0
2017-02,11.25,11.5,137,0,0,0
2017-03,11.5,12.875,124,0,0,0
2017-04,10.5,18.125,163,0,0,0
2017-05,17,21.5,123,0,0,0
2017-06,14.25,24.625,136,0,0,0
2017-07,24.5,21.5,366,0,0,0
2017-08,19.5,22.125,437,0,0,0
2017-09,12.75,25.5,347,0,0,0
2017-10,12.5,20.45833334,380,0,0,0
2017-11,15.75,16.875,363,0,0,0
2017-12,19,20.25,212,0,0,0
2018-01,25.75,24.75,153,0,0,0
2018-02,20.25,20.5,255,0,0,0
2018-03,17.25,19.125,177,0,0,0
2018-04,18.5,19.375,139,0,0,0
2018-05,23,18.75,88,0,0,0
2018-06,29.5,17.125,79,0,0,0
2018-07,20.25,20.375,45,0,0,0
2018-08,19,20.375,116,0,0,0
2018-09,19.75,15.125,74,0,0,0
2018-10,19,21.125,138,0,0,0
2018-11,18.5,21.625,33,0,0,0
2018-12,21.25,22.375,7,0,0,0
2019-01,19.25,17.875,0,0,0,0
2019-02,19.5,16.375,0,0,0,0
2019-03,15.25,18.75,35,0,0,0
2019-04,17.25,20.125,18,0,0,0
2019-05,23.5,25.25,23,0,0,0
2019-06,21.25,25,25,0,0,0
2019-07,36.25,30.5,44,0,0,0
2019-08,30.5,23.5,164,0,0,0
2019-09,25.25,20.875,160,0,0,0
2019-10,24.25,21.75,221,0,0,0
2019-11,24,24.125,234,0,0,0
2019-12,20,24.125,456,0,0,0
2020-01,22.75,25.25,581,0,0,0
2020-02,18.75,26.125,497,0,0,0
2020-03,21.75,25.5,666,3,0,0
2020-04,33,28.875,631,132,1048.73,-1
2020-05,23.5,35.25,535,288,-21.97,2
2020-06,25,34.5,431,240,1326.4,3
2020-07,26.25,36.875,384,169,58.5,5
2020-08,22,32.5,420,481,60.13,8
2020-09,26.25,28.5,422,285,66.17,7
2020-10,25.75,30.375,353,368,45.27,0
2020-11,30,31,337,190,68.2,17
2020-12,18.25,27.375,280,0,19.57,21
2021-01,28.75,24.75,267,0,47.57,9
2021-02,22.25,29.875,223,0,32.87,7
2021-03,21.75,27.375,243,0,45.17,0
2021-04,22.25,25.75,211,443,57.53,-136
2021-05,18.5,23,199,373,-770.73,3
2021-06,21.5,23.875,249,-68,518.97,44
2021-07,22.5,20.875,297,209,26.97,52
2021-08,24.75,20.625,274,91,34.33,75
2021-09,21.25,17.625,310,4,29.33,33
2021-10,19,14.625,397,409,28.1,44
2021-11,18.75,15.875,363,201,12.4,27
2021-12,23,17.625,381,75,0,121
