Name,Date,Followers,Growth,Uploads
@charlidamelio,2021-10-17,"44,411,280","+284,187",+9
@charlidamelio,2021-10-04,"44,127,093","+1,073,653",+27
@charlidamelio,2021-08-16,"43,053,440","+1,213,714",+45
@charlidamelio,2021-05-23,"41,839,726","+929,247",+20
@charlidamelio,2021-04-24,"40,910,479","+381,588",+5
@charlidamelio,2021-04-15,"40,528,891","+7,294,655",+77
@charlidamelio,2020-11-17,"33,234,236","+248,646",+3
@charlidamelio,2020-11-13,"32,985,590","+274,938",
@charlidamelio,2020-11-09,"32,710,652","+320,081",+2
@charlidamelio,2020-11-05,"32,390,571","+352,226",+4
@charlidamelio,2020-11-01,"32,038,345","+302,111",+4
@charlidamelio,2020-10-28,"31,736,234","+237,050",+3
@charlidamelio,2020-10-24,"31,499,184","+191,148",+4
@charlidamelio,2020-10-20,"31,308,036","+256,107",+2
@charlidamelio,2020-10-16,"31,051,929","+261,252",
@charlidamelio,2020-10-12,"30,790,677","+265,128",+5
@charlidamelio,2020-10-08,"30,525,549","+295,376",+2
@charlidamelio,2020-10-04,"30,230,173","+884,513",-35
@charlidamelio,2020-09-22,"29,345,660","+995,397",-1
@charlidamelio,2020-09-09,"28,350,263","+891,439",+21
@charlidamelio,2020-08-28,"27,458,824","+307,357",+4
@charlidamelio,2020-08-24,"27,151,467","+345,657",+2
@charlidamelio,2020-08-20,"26,805,810","+605,535",+10
@charlidamelio,2020-08-12,"26,200,275","+4,710,578",+28
@charlidamelio,2020-07-01,"21,489,697","+490,989",+4
@charlidamelio,2020-06-25,"20,998,708","+1,382,576",+13
@charlidamelio,2020-06-01,"19,616,132","+295,972",+1
@charlidamelio,2020-05-28,"19,320,160","+192,320",
@charlidamelio,2020-05-26,"19,127,840","+243,974",+1
@charlidamelio,2020-05-23,"18,883,866",,
@charlidamelio,Total Summary,+260,,
@arianagrande,,,,
@arianagrande,2021-12-18,"282,668,921","+2,245,026",+11
@arianagrande,2021-12-08,"280,423,895","+1,603,539",+3
@arianagrande,2021-11-30,"278,820,356","+1,083,085",+3
@arianagrande,2021-11-24,"277,737,271","+2,466,684",+11
