Name,Following,Followers,Likes,Views,V_Date,V_Likes,V_Comments
charlidamelio  ,1267,136.7M,10.6B,1.4M,3h ago ,342.1K,19K
charlidamelio  ,1267,136.7M,10.6B,4.4M,2d ago ,799.3K,55.6K
charlidamelio  ,1267,136.7M,10.6B,27M,4d ago ,5.8M,83.1K
charlidamelio  ,1267,136.7M,10.6B,9.8M,4d ago ,1.5M,35.4K
charlidamelio  ,1267,136.7M,10.6B,6.5M,4d ago ,828.5K,31.4K
charlidamelio  ,1267,136.7M,10.6B,9.2M,5d ago ,1.1M,46K
charlidamelio  ,1267,136.7M,10.6B,12M,5d ago ,1.8M,48.7K
charlidamelio  ,1267,136.7M,10.6B,11.5M,6d ago ,1.7M,50.2K
charlidamelio  ,1267,136.7M,10.6B,8.1M,1w ago ,985.1K,31K
charlidamelio  ,1267,136.7M,10.6B,16.3M,1w ago ,2.4M,72.9K
charlidamelio  ,1267,136.7M,10.6B,31.3M,2-14,4.6M,134K
charlidamelio  ,1267,136.7M,10.6B,14.8M,2-13,1.9M,40.8K
charlidamelio  ,1267,136.7M,10.6B,18M,2-12,2.6M,38.5K
charlidamelio  ,1267,136.7M,10.6B,22.7M,2-12,3.7M,24.6K
charlidamelio  ,1267,136.7M,10.6B,13.2M,2-11,1.8M,53K
charlidamelio  ,1267,136.7M,10.6B,13.3M,2-11,1.5M,23.9K
charlidamelio  ,1267,136.7M,10.6B,10.2M,2-11,1.4M,28.4K
charlidamelio  ,1267,136.7M,10.6B,16.2M,2-10,2M,30.8K
charlidamelio  ,1267,136.7M,10.6B,10.1M,2-10,1.1M,28.1K
charlidamelio  ,1267,136.7M,10.6B,15.2M,2-10,2.4M,35.6K
charlidamelio  ,1267,136.7M,10.6B,16.7M,2-10,2.7M,28.7K
charlidamelio  ,1267,136.7M,10.6B,10.6M,2-10,1.3M,17.2K
charlidamelio  ,1267,136.7M,10.6B,17.5M,2-10,3M,28K
charlidamelio  ,1267,136.7M,10.6B,8.1M,2-9,879.3K,10.7K
charlidamelio  ,1267,136.7M,10.6B,8.6M,2-9,1.2M,16.5K
charlidamelio  ,1267,136.7M,10.6B,8.7M,2-9,1.5M,24.1K
charlidamelio  ,1267,136.7M,10.6B,15.9M,2-7,2.4M,44.8K
charlidamelio  ,1267,136.7M,10.6B,28.2M,2-5,4.4M,85.6K
charlidamelio  ,1267,136.7M,10.6B,13.2M,2-4,1.7M,44.9K
charlidamelio  ,1267,136.7M,10.6B,13.7M,2-3,1.5M,45.1K
charlidamelio  ,1267,136.7M,10.6B,19.6M,1-31,2.7M,54.9K
charlidamelio  ,1267,136.7M,10.6B,97M,1-28,11.3M,674.5K
charlidamelio  ,1267,136.7M,10.6B,35.4M,1-28,4.1M,56.8K
charlidamelio  ,1267,136.7M,10.6B,30.2M,1-28,3.7M,35.9K
charlidamelio  ,1267,136.7M,10.6B,23.6M,1-26,2.9M,81.7K
charlidamelio  ,1267,136.7M,10.6B,29.3M,1-21,3.3M,76.2K
charlidamelio  ,1267,136.7M,10.6B,16.6M,1-21,1.3M,24.2K
charlidamelio  ,1267,136.7M,10.6B,30.5M,1-19,4.3M,64.1K
charlidamelio  ,1267,136.7M,10.6B,39.9M,1-17,6M,57.7K
charlidamelio  ,1267,136.7M,10.6B,42.7M,1-16,6.1M,106.3K
charlidamelio  ,1267,136.7M,10.6B,23.3M,1-16,2.8M,35K
charlidamelio  ,1267,136.7M,10.6B,25.2M,1-16,3.8M,90.1K
charlidamelio  ,1267,136.7M,10.6B,20.8M,1-15,2.5M,33.8K
charlidamelio  ,1267,136.7M,10.6B,15M,1-15,1.4M,26.8K
charlidamelio  ,1267,136.7M,10.6B,21.4M,1-12,2.5M,74.2K
charlidamelio  ,1267,136.7M,10.6B,17.6M,1-11,1.9M,28K
charlidamelio  ,1267,136.7M,10.6B,15.2M,1-11,1.5M,25.6K
charlidamelio  ,1267,136.7M,10.6B,20M,1-11,2.7M,50.8K
charlidamelio  ,1267,136.7M,10.6B,31.8M,1-9,3.8M,88.5K
charlidamelio  ,1267,136.7M,10.6B,16.3M,1-9,1.5M,60.8K
charlidamelio  ,1267,136.7M,10.6B,24.7M,1-8,4M,61.4K
charlidamelio  ,1267,136.7M,10.6B,15.3M,1-8,2M,28.3K
charlidamelio  ,1267,136.7M,10.6B,20M,1-8,2.9M,47.6K
charlidamelio  ,1267,136.7M,10.6B,22.9M,1-8,2.3M,69.7K
charlidamelio  ,1267,136.7M,10.6B,16.5M,1-7,1.8M,32.1K
charlidamelio  ,1267,136.7M,10.6B,16.7M,1-6,2.1M,54.4K
charlidamelio  ,1267,136.7M,10.6B,33.5M,1-5,4.4M,59.1K
charlidamelio  ,1267,136.7M,10.6B,21.5M,1-4,2.3M,44.6K
charlidamelio  ,1267,136.7M,10.6B,24.7M,1-4,2.8M,13.9K
charlidamelio  ,1267,136.7M,10.6B,26.6M,1-2,3.4M,56.2K
charlidamelio  ,1267,136.7M,10.6B,21M,1-2,2.1M,39.7K
charlidamelio  ,1267,136.7M,10.6B,19.6M,1-2,1.9M,25.2K
charlidamelio  ,1267,136.7M,10.6B,24.8M,1-2,2.9M,25.5K
charlidamelio  ,1267,136.7M,10.6B,27.3M,1-2,2.8M,47.8K
charlidamelio  ,1267,136.7M,10.6B,25.2M,1-1,3.2M,47.2K
charlidamelio  ,1267,136.7M,10.6B,27.4M,1-1,3.1M,47.4K
charlidamelio  ,1267,136.7M,10.6B,56.8M,1-1,6.4M,63.5K
charlidamelio  ,1267,136.7M,10.6B,15.5M,1-1,1M,13K
charlidamelio  ,1267,136.7M,10.6B,34.7M,1-1,4.3M,56.2K
charlidamelio  ,1267,136.7M,10.6B,26.3M,1-1,3.8M,60.2K
charlidamelio  ,1267,136.7M,10.6B,16.8M,2021-12-31,2.1M,43.6K
charlidamelio  ,1267,136.7M,10.6B,15.2M,2021-12-29,1M,24.4K
charlidamelio  ,1267,136.7M,10.6B,12M,2021-12-28,693.3K,15.8K
charlidamelio  ,1267,136.7M,10.6B,13.4M,2021-12-28,859.3K,22.2K
charlidamelio  ,1267,136.7M,10.6B,21.4M,2021-12-25,2.4M,38.4K
charlidamelio  ,1267,136.7M,10.6B,15M,2021-12-23,1.3M,25.1K
charlidamelio  ,1267,136.7M,10.6B,13.1M,2021-12-23,986.5K,19.3K
charlidamelio  ,1267,136.7M,10.6B,20.6M,2021-12-20,2.3M,39.9K
charlidamelio  ,1267,136.7M,10.6B,13.1M,2021-12-19,892.6K,23.5K
charlidamelio  ,1267,136.7M,10.6B,25.7M,2021-12-18,3.2M,54.9K
charlidamelio  ,1267,136.7M,10.6B,15.3M,2021-12-18,1.3M,12.7K
charlidamelio  ,1267,136.7M,10.6B,16.7M,2021-12-16,1.8M,34.4K
charlidamelio  ,1267,136.7M,10.6B,24.3M,2021-12-16,3M,22.8K
charlidamelio  ,1267,136.7M,10.6B,16.6M,2021-12-16,2.1M,21.5K
charlidamelio  ,1267,136.7M,10.6B,16.1M,2021-12-15,1.9M,32.6K
charlidamelio  ,1267,136.7M,10.6B,14.2M,2021-12-15,1.7M,28.2K
charlidamelio  ,1267,136.7M,10.6B,13.8M,2021-12-15,1.6M,14K
charlidamelio  ,1267,136.7M,10.6B,12.4M,2021-12-15,1.3M,24.8K
charlidamelio  ,1267,136.7M,10.6B,12.2M,2021-12-14,1.3M,34.1K
charlidamelio  ,1267,136.7M,10.6B,42.6M,2021-12-13,5.3M,46.5K
charlidamelio  ,1267,136.7M,10.6B,27.4M,2021-12-13,3.7M,77.3K
charlidamelio  ,1267,136.7M,10.6B,35M,2021-12-12,5M,68.2K
charlidamelio  ,1267,136.7M,10.6B,31.2M,2021-12-12,4.8M,85.2K
charlidamelio  ,1267,136.7M,10.6B,12.7M,2021-12-11,1.1M,25.9K
charlidamelio  ,1267,136.7M,10.6B,19.1M,2021-12-10,2.4M,28.2K
charlidamelio  ,1267,136.7M,10.6B,18.8M,2021-12-10,2.4M,34.1K
charlidamelio  ,1267,136.7M,10.6B,16.2M,2021-12-10,2.1M,34.6K
charlidamelio  ,1267,136.7M,10.6B,18M,2021-12-9,1.4M,39.8K
charlidamelio  ,1267,136.7M,10.6B,19M,2021-12-9,2.7M,49.8K
charlidamelio  ,1267,136.7M,10.6B,17.2M,2021-12-9,2M,29.8K
