Name,Date,upload_tweet
charlidamelio,2021-11-15,+3
charlidamelio,2021-11-14,+12
charlidamelio,2021-11-12,+41
charlidamelio,2021-11-09,+5
charlidamelio,2021-11-07,+3
charlidamelio,2021-11-03,+1
charlidamelio,2021-11-02,+3
charlidamelio,2021-11-01,+8
charlidamelio,2021-10-29,+19
charlidamelio,2021-10-20,+6
charlidamelio,2021-10-13,
charlidamelio,2021-10-11,+3
charlidamelio,2021-10-04,+1
charlidamelio,2021-10-02,+1
charlidamelio,2021-10-01,+2
charlidamelio,2021-09-29,+7
charlidamelio,2021-09-28,-1
charlidamelio,2021-09-23,-1
charlidamelio,2021-09-22,+15
charlidamelio,2021-09-20,+10
charlidamelio,2021-09-19,
charlidamelio,2021-09-18,+3
charlidamelio,2021-09-14,
charlidamelio,2021-09-12,
charlidamelio,2021-09-10,+3
charlidamelio,2021-09-09,
charlidamelio,2021-09-07,
charlidamelio,2021-09-06,+9
charlidamelio,2021-09-01,+32
charlidamelio,2021-08-31,
charlidamelio,2021-08-30,+2
charlidamelio,2021-08-28,+8
charlidamelio,2021-08-24,+2
charlidamelio,2021-08-21,-1
charlidamelio,2021-08-19,+1
charlidamelio,2021-08-18,
charlidamelio,2021-08-17,+7
charlidamelio,2021-08-16,+6
charlidamelio,2021-08-13,+5
charlidamelio,2021-08-10,
charlidamelio,2021-08-09,-2
charlidamelio,2021-08-08,+12
charlidamelio,2021-08-05,
charlidamelio,2021-08-04,-1
charlidamelio,2021-08-02,
charlidamelio,2021-08-01,-1
charlidamelio,2021-07-31,+5
charlidamelio,2021-07-29,
charlidamelio,2021-07-27,
charlidamelio,2021-07-25,
charlidamelio,2021-07-23,+1
charlidamelio,2021-07-19,+43
charlidamelio,2021-07-14,+3
charlidamelio,2021-07-12,
charlidamelio,2021-07-11,
charlidamelio,2021-07-07,
charlidamelio,2021-07-06,
charlidamelio,2021-07-04,+1
charlidamelio,2021-07-02,+10
charlidamelio,2021-06-30,+2
charlidamelio,2021-06-28,+5
charlidamelio,2021-06-27,
charlidamelio,2021-06-26,+7
charlidamelio,2021-06-24,+2
charlidamelio,2021-06-21,
charlidamelio,2021-06-20,
charlidamelio,2021-06-18,+2
charlidamelio,2021-06-15,+1
charlidamelio,2021-06-13,
charlidamelio,2021-06-11,+5
charlidamelio,2021-06-09,
charlidamelio,2021-06-07,
charlidamelio,2021-06-06,
charlidamelio,2021-06-05,
charlidamelio,2021-06-03,
