Name,Date,yt_upload
charlidamelio,2021-12-30,
charlidamelio,2021-12-29,
charlidamelio,2021-12-27,
charlidamelio,2021-12-26,+1
charlidamelio,2021-12-24,+2
charlidamelio,2021-12-23,+1
charlidamelio,2021-12-22,+1
charlidamelio,2021-12-21,+1
charlidamelio,2021-12-20,+1
charlidamelio,2021-12-19,+1
charlidamelio,2021-12-18,+2
charlidamelio,2021-12-17,+1
charlidamelio,2021-12-16,+2
charlidamelio,2021-12-14,
charlidamelio,2021-12-13,+1
charlidamelio,2021-12-12,
charlidamelio,2021-12-11,
charlidamelio,2021-12-10,
charlidamelio,2021-12-09,+1
charlidamelio,2021-12-08,
charlidamelio,2021-12-07,
charlidamelio,2021-12-06,
charlidamelio,2021-12-03,
charlidamelio,2021-11-16,
charlidamelio,2021-11-15,
charlidamelio,2021-11-14,
charlidamelio,2021-11-12,
charlidamelio,2021-11-11,+1
charlidamelio,2021-11-10,
charlidamelio,2021-11-09,
charlidamelio,2021-11-08,
charlidamelio,2021-11-07,
charlidamelio,2021-11-06,
charlidamelio,2021-11-05,
charlidamelio,2021-11-04,
charlidamelio,2021-11-03,
charlidamelio,2021-11-01,
charlidamelio,2021-10-31,+1
charlidamelio,2021-10-30,
charlidamelio,2021-10-29,
charlidamelio,2021-10-28,
charlidamelio,2021-10-26,
charlidamelio,2021-10-25,
charlidamelio,2021-10-24,
charlidamelio,2021-10-23,
charlidamelio,2021-10-21,
charlidamelio,2021-10-20,
charlidamelio,2021-10-19,
charlidamelio,2021-10-18,
charlidamelio,2021-10-16,
charlidamelio,2021-10-15,
charlidamelio,2021-10-14,
charlidamelio,2021-10-13,
charlidamelio,2021-10-12,
charlidamelio,2021-10-11,
charlidamelio,2021-10-09,+1
charlidamelio,2021-10-08,
charlidamelio,2021-10-07,
charlidamelio,2021-10-06,
charlidamelio,2021-10-05,
charlidamelio,2021-10-04,
charlidamelio,2021-10-02,
charlidamelio,2021-10-01,
charlidamelio,2021-09-30,
charlidamelio,2021-09-29,+1
charlidamelio,2021-09-27,
charlidamelio,2021-09-26,
charlidamelio,2021-09-25,
charlidamelio,2021-09-23,
charlidamelio,2021-09-22,+1
charlidamelio,2021-09-21,
charlidamelio,2021-09-20,
charlidamelio,2021-09-19,
charlidamelio,2021-09-18,
charlidamelio,2021-09-16,
charlidamelio,2021-09-15,
charlidamelio,2021-09-14,
charlidamelio,2021-09-13,
charlidamelio,2021-09-12,
charlidamelio,2021-09-11,
charlidamelio,2021-09-10,
charlidamelio,2021-09-09,
charlidamelio,2021-09-08,
charlidamelio,2021-09-06,
charlidamelio,2021-09-05,
charlidamelio,2021-09-04,
charlidamelio,2021-09-03,
charlidamelio,2021-09-01,
charlidamelio,2021-08-31,
charlidamelio,2021-08-30,
